timestamp;bx;by;bz;ax;ay;az;gx;gy;gz;pressure;x;y;floor;poi_type;description;magnetic_magnitude;step_count;heading
1751659093700;9.30;-9.17;-48.17;-0.19;1.87;9.89;0.04;0.04;-0.01;;136.00;374.00;1;;;49.91;0;315.4
1751659093800;9.30;-9.17;-48.17;-0.19;1.87;9.89;0.04;0.04;-0.01;;136.00;374.00;1;;;49.91;0;315.4
1751659093899;18.71;-11.68;-47.91;-0.48;1.81;10.05;0.03;-0.02;0.02;;136.00;374.00;1;;;52.74;0;328.0
1751659093999;18.71;-11.68;-47.91;-0.48;1.81;10.05;0.03;-0.02;0.02;;136.00;374.00;1;;;52.74;0;328.0
1751659094100;18.94;-12.00;-47.98;-0.39;1.79;9.98;0.02;0.01;0.04;;136.00;374.00;1;;;52.96;0;327.6
1751659094201;18.94;-12.00;-47.98;-0.39;1.79;9.98;0.02;0.01;0.04;;136.00;374.00;1;;;52.96;0;327.6
1751659094300;18.92;-12.13;-47.85;-0.34;1.65;9.91;-0.02;0.03;-0.00;;136.00;374.00;1;;;52.87;0;327.3
1751659094400;18.92;-12.13;-47.85;-0.34;1.65;9.91;-0.02;0.03;-0.00;;136.00;374.00;1;;;52.87;0;327.3
1751659094499;18.83;-12.08;-47.63;-0.37;1.62;10.12;0.01;-0.02;-0.03;;136.00;374.00;1;;;52.61;0;327.3
1751659094600;18.83;-12.08;-47.63;-0.37;1.62;10.12;0.01;-0.02;-0.03;;136.00;374.00;1;;;52.61;0;327.3
1751659094700;18.81;-11.98;-47.57;-0.40;1.74;9.97;-0.01;-0.00;-0.05;;136.00;374.00;1;;;52.54;0;327.5
1751659094799;18.81;-11.98;-47.57;-0.40;1.74;9.97;-0.01;-0.00;-0.05;;136.00;374.00;1;;;52.54;0;327.5
1751659094899;18.75;-11.94;-47.46;-0.43;1.74;9.95;-0.02;-0.01;-0.03;;136.00;374.00;1;;;52.41;0;327.5
1751659095000;18.75;-11.94;-47.46;-0.43;1.74;9.95;-0.02;-0.01;-0.03;;136.00;374.00;1;;;52.41;0;327.5
1751659095099;18.69;-11.87;-47.40;-0.39;1.62;10.03;-0.01;-0.02;-0.02;;136.00;374.00;1;;;52.32;0;327.6
1751659095200;18.69;-11.87;-47.40;-0.39;1.62;10.03;-0.01;-0.02;-0.02;;136.00;374.00;1;;;52.32;0;327.6
1751659095299;18.71;-11.76;-47.36;-0.41;1.67;10.02;0.01;-0.00;-0.01;;136.00;374.00;1;;;52.26;0;327.9
1751659095400;18.71;-11.76;-47.36;-0.41;1.67;10.02;0.01;-0.00;-0.01;;136.00;374.00;1;;;52.26;0;327.9
1751659095500;18.77;-11.68;-47.31;-0.36;1.61;9.99;0.01;-0.02;-0.00;;136.00;374.00;1;;;52.22;0;328.1
1751659095599;18.77;-11.68;-47.31;-0.36;1.61;9.99;0.01;-0.02;-0.00;;136.00;374.00;1;;;52.22;0;328.1
1751659095699;18.69;-11.59;-47.33;-0.33;1.65;10.02;0.00;-0.00;0.01;;136.00;374.00;1;;;52.19;0;328.2
1751659095801;18.69;-11.59;-47.33;-0.33;1.65;10.02;0.00;-0.00;0.01;;136.00;374.00;1;;;52.19;0;328.2
1751659095899;18.66;-11.38;-47.38;-0.28;1.68;10.02;0.00;-0.02;-0.00;;136.00;374.00;1;;;52.18;0;328.6
1751659095998;18.66;-11.38;-47.38;-0.28;1.68;10.02;0.00;-0.02;-0.00;;136.00;374.00;1;;;52.18;0;328.6
1751659096100;18.69;-11.29;-47.59;-0.29;1.69;9.97;0.00;-0.00;-0.01;;136.00;374.00;1;;;52.36;0;328.9
1751659096199;18.69;-11.29;-47.59;-0.29;1.69;9.97;0.00;-0.00;-0.01;;136.00;374.00;1;;;52.36;0;328.9
1751659096299;18.58;-11.27;-47.59;-0.31;1.69;10.02;-0.01;-0.00;-0.00;;136.00;374.00;1;;;52.31;0;328.8
1751659096400;18.58;-11.27;-47.59;-0.31;1.69;10.02;-0.01;-0.00;-0.00;;136.00;374.00;1;;;52.31;0;328.8
1751659096500;18.54;-11.23;-47.72;-0.28;1.68;10.00;-0.01;-0.01;-0.00;;136.00;374.00;1;;;52.41;0;328.8
1751659096599;18.54;-11.23;-47.72;-0.28;1.68;10.00;-0.01;-0.01;-0.00;;136.00;374.00;1;;;52.41;0;328.8
1751659096700;18.54;-11.21;-47.87;-0.25;1.64;10.02;-0.01;0.01;-0.01;;136.00;374.00;1;;;52.55;0;328.8
1751659096799;18.54;-11.21;-47.87;-0.25;1.64;10.02;-0.01;0.01;-0.01;;136.00;374.00;1;;;52.55;0;328.8
1751659096899;18.43;-11.25;-47.91;-0.34;1.64;10.02;0.00;0.01;-0.00;;136.00;374.00;1;;;52.55;0;328.6
1751659097009;18.43;-11.25;-47.91;-0.34;1.64;10.02;0.00;0.01;-0.00;;136.00;374.00;1;;;52.55;0;328.6
1751659097099;18.32;-11.31;-47.96;-0.30;1.61;10.00;-0.01;-0.01;-0.00;;136.00;374.00;1;;;52.57;0;328.3
1751659097199;18.32;-11.31;-47.96;-0.30;1.61;10.00;-0.01;-0.01;-0.00;;136.00;374.00;1;;;52.57;0;328.3
1751659097299;18.24;-11.23;-47.93;-0.33;1.61;10.02;-0.01;0.00;-0.00;;136.00;374.00;1;;;52.50;0;328.4
1751659097399;18.24;-11.23;-47.93;-0.33;1.61;10.02;-0.01;0.00;-0.00;;136.00;374.00;1;;;52.50;0;328.4
1751659097499;18.19;-11.23;-47.91;-0.30;1.59;10.00;-0.01;-0.01;-0.00;;136.00;374.00;1;;;52.46;0;328.3
